ID,Region,Country,City,Building Tenure,Primary Use,Area,Area Type,Lease Expiry Date,Break Option Date,Currency,Rental Cost,Lease Until Expiry,Per Square Meter
353,North Asia,Japan,Kagawa,Leased,Residential,44.6599807,sqm,2021-09-30,,USD,431.5026393,13.004,9.661953106
354,S. Europe,Romania,Bucharest,Leased,Office,2551,sqm,2019-01-31,,USD,24262,-63945.326,9.510780086
355,S. Europe,Greece,Piraeus,Leased,Office,25209.07816,sqm,2023-09-30,,USD,238574,484337.901,9.463812937
356,North Asia,Japan,Hiroshima,Leased,Residential,44.74998066,sqm,2021-03-11,,USD,421.670583,-221.810,9.422810395
357,S. Europe,Bulgaria,Sofia,Leased,Office,4016,sqm,2021-02-28,,USD,36405,-20247.164,9.06499004
358,North Asia,Japan,Hiroshima,Leased,Residential,41.97998186,sqm,2021-03-11,,USD,379.9189637,-199.848,9.050003045
359,N. Europe,Netherlands,Haren/Groningen,Leased,Office,10097,sqm,2022-08-31,,USD,90000,85315.068,8.913538675
360,North Asia,Japan,Ehime,Leased,Residential,44.38998082,sqm,2021-07-31,,USD,389.4048208,-53.343,8.772358393
361,North Asia,Japan,Saga,Leased,Residential,51.65997768,sqm,2021-11-27,,USD,437.8727039,82.776,8.476052906
362,North Asia,Japan,Ehime,Leased,Residential,44.54998075,sqm,2022-11-30,,USD,373.8950982,447.650,8.392710657
363,North Asia,Japan,Saga,Leased,Residential,44.18998091,sqm,2023-09-30,,USD,370.7100659,752.592,8.389007153
364,S. Europe,Italy,Venice,Leased,Office,2906,sqm,2022-05-31,,USD,23790,16555.233,8.186510668
365,SAMEA,Egypt,Cairo,Leased,Office,249.165846,sqm,2021-07-14,,USD,2034,-373.364,8.163237589
366,S. Europe,Italy,Trieste,Leased,Office,4305,sqm,2021-06-30,,USD,33843,-7510.364,7.861324042
367,S. Europe,Malta,Valletta,Leased,Office,1614,sqm,2019-03-31,,USD,12480,-30875.178,7.732342007
368,North Asia,Japan,Ehime,Leased,Residential,53.04997708,sqm,2024-10-31,,USD,408.791974,1274.535,7.705789834
369,N. Europe,Germany,Rostock,Leased,Office,4035,sqm,2024-12-31,,USD,30000,98547.945,7.434944238
370,N. Europe,Netherlands,Geleen,Leased,Office,2734,sqm,2021-02-28,,USD,20254,-11264.553,7.408193124
371,S. Europe,Croatia,Rijeka,Leased,Office,3079,sqm,2025-05-16,,USD,22718,83091.863,7.378369601
372,S. Europe,Serbia,Beograd,Leased,Storage,538,sqm,2022-03-31,,USD,3848,2034.696,7.152416357
373,N. Europe,Ukraine,Mykolaiv,Leased,Office,631,sqm,,,USD,4344,,6.884310618
374,S. Europe,Spain,Vigo,Leased,Office,1507,sqm,2021-01-01,,USD,9561,-6836.770,6.344392833
375,N. Europe,Austria,Vienna,Leased,Storage,203,sqm,,,USD,1267,,6.24137931
376,N. Europe,Latvia,Riga,Leased,Office,1130.210592,sqm,2022-12-31,,USD,6955,8917.644,6.153720421
377,S. Europe,Spain,Zaragoza,Leased,Office,1076,sqm,2021-03-26,,USD,6569,-3185.515,6.105018587
378,S. Europe,Spain,Ferrol,Leased,Office,495,sqm,2022-12-31,,USD,2990,3833.753,6.04040404
379,N. Europe,Estonia,Tallinn,Leased,Office,1713,sqm,,,USD,9140,,5.335668418
380,S. Europe,Cuba,Habana,Leased,Office,8342,sqm,2021-11-30,,USD,41558,8197.742,4.98177895
381,S. Europe,Greece,Piraeus,Leased,Storage,646,sqm,2025-06-30,,USD,1737,6567.288,2.688854489
382,SAMEA,Egypt,Alexandria,Leased,Office,159.978966,sqm,2022-12-31,,USD,355,455.178,2.219041721
383,SAMEA,Egypt,Alexandria,Leased,Office,159.978966,sqm,2022-12-31,,USD,227,291.058,1.418936537
